,y_obs
0,-1.3452425793331896e-11
1,-1.2290197861055923e-11
2,-1.1119282020175646e-11
3,-9.952569520038575e-12
4,-8.610362782783354e-12
5,-7.70490807264828e-12
6,-6.910685792544413e-12
7,-6.133379171760609e-12
8,-5.456665458097925e-12
9,-4.880748129166286e-12
10,-4.092944467192576e-12
11,-3.790348401660488e-12
12,-3.2738777590595374e-12
13,-3.02987667087366e-12
14,-2.699351168137388e-12
15,-2.3287573759653682e-12
16,-1.9285815511040873e-12
17,-1.8870301435328915e-12
18,-1.5981609864039603e-12
19,-1.3654834006469153e-12
20,-1.2403510050847176e-12
21,-1.2068077249751822e-12
22,-8.752948126794048e-13
23,-8.067645030044465e-13
24,-5.439032085745926e-13
25,-7.34297474745491e-13
26,-5.273084625468301e-13
27,-5.332193875334326e-13
28,-3.2166978300405765e-13
29,-5.411334541205232e-13
30,-3.197923173492975e-13
31,-4.2970702028297115e-13
32,-1.9247642617477005e-13
33,-1.2806635465055962e-13
34,-3.0344486670745504e-13
35,-1.6053938913980026e-13
36,-1.0102281609643082e-13
37,-2.6380864787140856e-13
38,-1.18880389796574e-13
39,-1.1790731167851775e-13
40,-1.6926634908335691e-13
41,-1.6528325827230104e-13
42,5.741895927767774e-14
43,4.615035375729717e-15
44,-5.4087344990891305e-14
45,-8.323205216136398e-14
46,-2.454409391851492e-13
47,-2.9779005875866554e-14
48,-1.3231910792680756e-13
49,-1.0458040620440047e-13
50,2.6155921897507835e-14
51,-2.670256125290114e-14
52,-1.1044593771497844e-13
53,1.226687947229793e-13
54,1.681766881412202e-14
55,1.154824437579785e-13
56,-3.06181309141256e-14
57,2.305055645061749e-13
58,1.455368186958772e-13
59,5.205495888829945e-15
60,4.170693579881873e-14
61,-1.773350618524785e-13
62,-7.364326402749648e-14
63,1.1329646590753634e-13
64,1.319704540372435e-13
65,6.937440653315181e-14
66,-1.7899988804946387e-13
67,6.929317628461788e-14
68,-1.4384216068125176e-13
69,-5.0622052392104537e-14
70,6.267280750068106e-15
71,3.3290993638320825e-14
72,7.963020192739093e-14
73,1.9769194164276012e-14
74,-6.066738246907695e-14
75,-9.504080597707686e-14
76,-6.894428870590065e-14
77,1.4975590502623412e-14
78,5.6825415756032397e-14
79,-2.0269248091687777e-14
80,-2.340539467764729e-15
81,-1.202552308640829e-13
82,1.9155291455246486e-13
83,1.1233650691200014e-13
84,4.769537794888537e-14
85,4.734656427227892e-14
86,-3.080525659012056e-14
87,2.1905251586717685e-14
88,5.5640697840201536e-14
89,8.193540446718747e-14
90,1.1483891955563014e-13
91,2.1573519916457223e-14
92,-1.1724808968426915e-13
93,-1.0770634801561217e-13
94,-1.532809443645565e-13
95,-1.9855607276739268e-14
96,6.741136402016024e-14
97,-8.257652584484883e-14
98,-4.535012083901562e-14
99,2.7505716921261514e-14
100,-3.554894775709099e-14
101,1.1750145843638748e-13
102,-4.4796742937417546e-14
103,-6.647064041919343e-14
104,1.6289681047484024e-13
105,1.6452447157209505e-14
106,-6.544846665908776e-14
107,4.591269493409844e-15
108,-7.992138704762796e-14
109,6.827520299526301e-14
110,4.8011108713016705e-14
111,1.8864242933746852e-14
112,1.0105746836812987e-13
113,4.105408130439256e-14
114,4.2273465392016166e-14
115,1.281242063693569e-13
116,-5.150234971901427e-14
117,8.833653440366525e-14
118,1.0707295739698436e-13
119,3.2259289869528674e-14
120,7.557220492289617e-14
