,y_obs
0,-1.4798910170705807e-11
1,-1.343244549278197e-11
2,-1.1964837387482425e-11
3,-1.0632768979726358e-11
4,-9.429056017595354e-12
5,-8.345854177809554e-12
6,-7.373838402056492e-12
7,-6.505168335376529e-12
8,-5.730637645142812e-12
9,-5.04036832392165e-12
10,-4.429272679229887e-12
11,-3.887443266311571e-12
12,-3.4073340605603363e-12
13,-2.9833495656991682e-12
14,-2.609280111958985e-12
15,-2.2794946898247777e-12
16,-1.988947209359723e-12
17,-1.7333676708115465e-12
18,-1.5085050941970515e-12
19,-1.3108759738766664e-12
20,-1.1372688021426742e-12
21,-9.84793980324938e-13
22,-8.50986207543352e-13
23,-7.335574448139035e-13
24,-6.305567266416825e-13
25,-5.402376331051691e-13
26,-4.610202740671907e-13
27,-3.9161113567553834e-13
28,-3.3074681502828936e-13
29,-2.774383391922879e-13
30,-2.3071349654900454e-13
31,-1.8978516956677717e-13
32,-1.5394010624108262e-13
33,-1.2251734861397286e-13
34,-9.502788748305386e-14
35,-7.092514534203442e-14
36,-4.984143228563116e-14
37,-3.136474384535188e-14
38,-1.5181669783221876e-14
39,-1.0272279139449848e-15
40,1.1388481239651076e-14
41,2.222738362608681e-14
42,3.1749242706510315e-14
43,4.0064364113889633e-14
44,4.735513800907407e-14
45,5.374180427002731e-14
46,5.930944771036082e-14
47,6.421585593717854e-14
48,6.848080717386467e-14
49,7.224426115746998e-14
50,7.551812140056681e-14
51,7.838633715390437e-14
52,8.089823379348744e-14
53,8.307812978566476e-14
54,8.502646138215892e-14
55,8.671692432614224e-14
56,8.819345935096371e-14
57,8.948507859206368e-14
58,9.06170452031666e-14
59,9.160731167252336e-14
60,9.24741841768175e-14
61,9.32329969644736e-14
62,9.389732170965805e-14
63,9.447882745470376e-14
64,9.498787668447451e-14
65,9.543348359067999e-14
66,9.582351478243129e-14
67,9.61649292737141e-14
68,9.646370948272969e-14
69,9.672533180240389e-14
70,9.695424125632308e-14
71,9.715460297620067e-14
72,9.732999771521648e-14
73,9.748372739550146e-14
74,9.761829314000797e-14
75,9.77360503887978e-14
76,9.783914118045193e-14
77,9.792939937619895e-14
78,9.800837436226851e-14
79,9.807752059180926e-14
80,9.813803337467704e-14
81,9.819102215970839e-14
82,9.823740857905865e-14
83,9.827802832593679e-14
84,9.831358748090901e-14
85,9.834471701440313e-14
86,9.837196355404946e-14
87,9.839580721065858e-14
88,9.84166474310771e-14
89,9.843487744933432e-14
90,9.845084265734464e-14
91,9.846475457854735e-14
92,9.847694154290279e-14
93,9.848768608536556e-14
94,9.849699407011419e-14
95,9.850511694531652e-14
96,9.851221461385232e-14
97,9.851843317738536e-14
98,9.852392712489963e-14
99,9.85288577606062e-14
100,9.853321182572898e-14
101,9.853700844525545e-14
102,9.854029609488117e-14
103,9.854315008566078e-14
104,9.85456708069227e-14
105,9.854788007484756e-14
106,9.85497751250586e-14
107,9.855128667974754e-14
108,9.855249632038443e-14
109,9.855345494924486e-14
110,9.855424043610053e-14
111,9.855496457744205e-14
112,9.855578006620472e-14
113,9.855688745031372e-14
114,9.855773008241659e-14
115,9.855834051026255e-14
116,9.855887746613187e-14
117,9.855929829954393e-14
118,9.8559557594625e-14
119,9.855995707230358e-14
120,9.856033705501066e-14
121,9.856069963254593e-14
122,9.856104588064123e-14
123,9.856137758890777e-14
124,9.856169790864692e-14
125,1.5781352387061762e-11
126,1.38751161148727e-11
127,1.2142029170022574e-11
128,1.0647140728044688e-11
129,9.353681457415565e-12
130,8.231333335315551e-12
131,7.254876900225933e-12
132,6.403419237647272e-12
133,5.659133173431062e-12
134,5.007605503156911e-12
135,4.436072660817767e-12
136,3.933943186171008e-12
137,3.492241977002745e-12
138,3.103175636131988e-12
139,2.7601206579295437e-12
140,2.4573316594648798e-12
141,2.1898683363278593e-12
142,1.953365369092559e-12
143,1.7441543417804144e-12
144,1.5589771804782262e-12
145,1.3949421822254695e-12
146,1.2495992528405148e-12
147,1.1207503195902839e-12
148,1.0066380258244393e-12
149,9.052143315169721e-13
150,8.152331770755688e-13
151,7.354103171596784e-13
152,6.646217978649071e-13
153,6.016752152831662e-13
154,5.457787448908901e-13
155,4.961152338295709e-13
156,4.5199495943668e-13
157,4.127907000191226e-13
158,3.7795185635410816e-13
159,3.4698598077370656e-13
160,3.194588319123148e-13
161,2.949938389285017e-13
162,2.732412560399374e-13
163,2.539070111435274e-13
164,2.367149459993871e-13
165,2.214264947916512e-13
166,2.078334350070593e-13
167,1.9574725979794744e-13
168,1.849988202897211e-13
169,1.7543993890756938e-13
170,1.6693827386313954e-13
171,1.5937723786241337e-13
172,1.5265362045169824e-13
173,1.4667424079075305e-13
174,1.413563696595105e-13
175,1.3662632229579415e-13
176,1.3241920497796858e-13
177,1.2867726459614926e-13
178,1.2534915243284898e-13
179,1.2238904865074998e-13
180,1.197561117856627e-13
181,1.174141727487586e-13
182,1.153310672643189e-13
183,1.134782146836181e-13
184,1.1183015574820259e-13
185,1.1036423966339391e-13
186,1.0906016124696027e-13
187,1.0789991580055635e-13
188,1.0686842048631721e-13
189,1.0595158269464947e-13
190,1.0513349248237682e-13
191,1.0440453994764933e-13
192,1.0376085602895592e-13
193,1.0318826230684461e-13
194,1.0267637406454727e-13
195,1.0222205489084853e-13
196,1.0181869847221612e-13
197,1.0145873615523665e-13
198,1.0113814654392803e-13
199,1.008540006505359e-13
200,1.0060118353514878e-13
201,1.0037574872015469e-13
202,1.001755648944755e-13
203,9.999775369785492e-14
204,9.983927483224488e-14
205,9.969816964169748e-14
206,9.957287009204448e-14
207,9.946135339339132e-14
208,9.936204767213881e-14
209,9.927381178855978e-14
210,9.919539386116187e-14
211,9.912562080149036e-14
212,9.906364168905559e-14
213,9.90084290417217e-14
214,9.895928929942475e-14
215,9.891560619893937e-14
