,y_obs
0,-1.5046503650769596e-11
1,-1.3518341368901947e-11
2,-1.21410249330369e-11
3,-1.0727724424684342e-11
4,-9.532457678103492e-12
5,-8.489576621384104e-12
6,-7.446940280647126e-12
7,-6.64539525770573e-12
8,-5.5809801983657274e-12
9,-5.2359162244413954e-12
10,-4.475228104814599e-12
11,-4.055199923998425e-12
12,-3.712302880225078e-12
13,-3.21282404677309e-12
14,-2.823415870780109e-12
15,-2.3825066698094548e-12
16,-2.1344592741719823e-12
17,-1.7902657771259059e-12
18,-1.4223386526927183e-12
19,-1.5094166553173643e-12
20,-1.2076925773914888e-12
21,-1.142581786067387e-12
22,-8.89215565681963e-13
23,-7.998900065719212e-13
24,-7.676325991217976e-13
25,-5.221967234531697e-13
26,-4.911831898168729e-13
27,-3.8713652591718903e-13
28,-4.188092238831941e-13
29,-4.0850195704750303e-13
30,-3.3244379414388647e-13
31,-3.873699086576142e-13
32,-1.6466936467110412e-13
33,-2.719452857727386e-13
34,-5.332864552292241e-14
35,-2.5115881262714306e-13
36,-1.1022625372832911e-13
37,2.1001362108537927e-14
38,-1.2252089886044108e-13
39,-1.4856177314233182e-13
40,-1.727801422733183e-13
41,-9.886731718109053e-14
42,-1.0162009810325717e-13
43,-2.5067469988276014e-13
44,-1.9993406058095911e-13
45,-1.3376085102560285e-13
46,7.573181317125798e-14
47,6.711303304838205e-14
48,1.857772343980722e-13
49,-4.6604270142769144e-14
50,2.5084203265074256e-14
51,-7.948197238792917e-14
52,3.52084064372304e-14
53,8.317702697349193e-14
54,-2.8687870240225873e-14
55,3.959426161187116e-14
56,-1.1987435027001993e-13
57,-1.2438405080940307e-14
58,8.4368074722395e-15
59,-1.9353750637147328e-14
60,3.736398998391045e-14
61,-7.790813637702958e-14
62,8.206013471489498e-14
63,-1.7281570896594284e-13
64,-2.0022586202948408e-13
65,2.660122295214869e-14
66,4.13515153139879e-14
67,4.3900064572876465e-14
68,4.180201762076324e-14
69,-1.9261741618814623e-14
70,1.2188883316538912e-13
71,-9.253939892500152e-14
72,1.3193208658144238e-13
73,5.320394935304243e-14
74,-8.598843679708566e-14
75,5.812392582112577e-14
76,7.958615263849058e-14
77,1.3659651395815667e-14
78,-1.0419356805787192e-13
79,3.3063659883582354e-14
80,2.7491487620600883e-14
81,8.987588092418342e-14
82,1.3817025669096032e-13
83,5.833262831823742e-14
84,7.898703213520825e-14
85,5.889864187497433e-14
86,1.5260879186076247e-13
87,-1.0126581376166921e-13
88,-4.6156700611901327e-14
89,1.16740872910339e-15
90,-1.405371850412883e-13
91,-2.7787574959220626e-14
92,-6.464175805560063e-14
93,1.2476687104761604e-13
94,-4.831078125422406e-15
95,1.268136673452149e-13
96,8.325128105405073e-14
97,8.946174083135467e-14
98,-8.275504760243894e-14
99,1.8721285111259727e-13
100,-5.711530453204278e-14
101,1.2357965874479272e-13
102,-1.447566975929011e-14
103,3.249228374505224e-14
104,2.184140190613249e-13
105,-7.510778465852112e-14
106,7.596419516026467e-14
107,-5.420770439870517e-14
108,2.390656899920493e-15
109,4.789983153340557e-14
110,1.4404372552957986e-14
111,8.612005037503113e-15
112,-7.033142405044934e-14
113,-4.173569994543842e-14
114,5.833777585559453e-14
115,1.2579618146171758e-15
116,-3.5248606095115376e-14
117,-9.813804453935645e-15
118,7.005836839558726e-14
119,8.131967502415264e-14
120,8.94368803857401e-14
121,-2.6538647009606114e-14
122,-5.346745750743889e-14
123,-8.910246394038181e-14
124,3.388112819936455e-14
125,1.5777189248900093e-11
126,1.3799462858025924e-11
127,1.2046017748982275e-11
128,1.0483177017615735e-11
129,9.14161961394629e-12
130,8.08825520788684e-12
131,7.1831828067711956e-12
132,6.443751753963274e-12
133,5.515695592839344e-12
134,4.882919380415684e-12
135,4.218952645234403e-12
136,3.744341594365665e-12
137,3.4032742137072623e-12
138,3.0743401191861644e-12
139,2.7201566427243173e-12
140,2.4436928576127052e-12
141,2.1202634523548754e-12
142,1.7133149393021365e-12
143,1.6033424421706532e-12
144,1.5015812578153491e-12
145,1.2656174716314321e-12
146,1.1659034905831042e-12
147,1.0503108479204345e-12
148,8.911994644850862e-13
149,6.809387082251134e-13
150,7.51577705877269e-13
151,5.7297435939626e-13
152,5.302574115182441e-13
153,4.947293199147214e-13
154,4.741355349943525e-13
155,2.397130220853725e-13
156,3.601538828870842e-13
157,2.9406630187204297e-13
158,3.089599809470035e-13
159,2.01886097509728e-13
160,2.5273156846467305e-13
161,1.8474718311330386e-13
162,9.496319620907252e-14
163,2.9666405941756284e-13
164,3.4865784781101214e-13
165,2.641387467081756e-14
166,2.7411926856454194e-13
167,1.4010767336502634e-13
168,8.446575354640177e-14
169,3.5637592127325474e-15
170,-1.816045431518896e-14
171,1.7197163562826846e-14
172,5.541652826280976e-14
173,1.6198342162199985e-13
174,-5.098383127114688e-14
175,-8.953400164095892e-14
176,1.1234994325419948e-13
177,4.778625410607533e-15
178,4.9664585969568215e-14
179,-1.2165980600793653e-13
180,2.9842174913526426e-14
181,1.6340237422414073e-14
182,-3.971698774339022e-15
183,2.3464726183333795e-14
184,-2.162104780152249e-13
185,6.312645264510577e-14
186,1.0781196443953526e-14
187,-9.00735216785638e-14
188,-1.0744459210801641e-13
189,2.0379486114777742e-14
190,7.469119216485336e-14
191,-8.608534152222106e-15
192,-3.767968446084973e-14
193,-1.4695987421194048e-14
194,5.2168094655491754e-14
195,1.0523763786500261e-13
196,6.413230321623548e-14
197,1.5586219144320008e-13
198,4.639132665159404e-15
199,-3.091072437015342e-14
200,-2.8298170533492814e-15
201,1.1298704139417418e-13
202,4.16266507547199e-14
203,-1.1330574418485088e-13
204,1.0639753858185373e-13
205,-4.712170083769202e-14
206,-5.3112104528840026e-14
207,-1.4204681706548482e-13
208,6.865996847259608e-14
209,-1.556100894737477e-13
210,6.883909203735577e-14
211,-5.3457032495474994e-14
212,7.748269801154764e-14
213,-5.884981155500382e-14
214,-6.4889341433936e-14
215,1.154615162765721e-13
216,-9.299235681766188e-14
217,-2.6252920222286018e-14
218,-1.5943530146214363e-13
219,-1.146715496562929e-13
220,6.93138076393203e-14
221,4.5532457530237107e-14
222,-1.7279707689636215e-13
223,-2.7581102126082195e-14
224,-1.1699324115131903e-14
225,-3.415095215780228e-14
226,-1.2153352224903738e-13
227,2.7588529832933903e-14
228,3.77564703657804e-14
229,2.5588772007161584e-14
230,5.1969314810306886e-14
231,1.957388756216067e-13
232,1.3951153366584575e-14
233,1.0692803369486141e-13
