,y_obs
0,-1.4773080949848966e-11
1,-1.3634544960774892e-11
2,-1.2190560733639385e-11
3,-1.0707593444238145e-11
4,-9.553389243415279e-12
5,-8.448972685529834e-12
6,-7.637545721831602e-12
7,-6.711354974035572e-12
8,-5.862714221841439e-12
9,-5.12636527465413e-12
10,-4.609154355373282e-12
11,-3.918091236310255e-12
12,-3.4344779055327822e-12
13,-3.0059850034189816e-12
14,-2.852418432710849e-12
15,-2.4349156232131592e-12
16,-2.1396039542161745e-12
17,-1.6927126395772606e-12
18,-1.6104089663286113e-12
19,-1.4635802794374607e-12
20,-1.2646395281673112e-12
21,-9.914501350935352e-13
22,-7.533499201622743e-13
23,-1.0677540840818475e-12
24,-7.584743534109087e-13
25,-8.479396037556069e-13
26,-5.33128966209768e-13
27,-6.697222983492753e-13
28,-5.288983307206216e-13
29,-5.67613445865876e-13
30,-3.7055696570366047e-13
31,-2.2249180665763902e-13
32,-2.0775685133587823e-13
33,-3.813889948540503e-13
34,-2.1425071657229195e-13
35,-1.6972632534108472e-13
36,-7.43278313660041e-14
37,-4.49506675296234e-14
38,-2.0929479615570875e-13
39,-7.763619904747527e-14
40,2.977845522132093e-14
41,-3.51667691173993e-14
42,-2.8123240397897283e-15
43,-1.0184767143477582e-13
44,-9.289621450584373e-14
45,-3.194601239704854e-13
46,-2.006357105302461e-13
47,-1.369122791019276e-13
48,-1.1615609368242784e-13
49,-1.25952898466876e-13
50,1.5762383262819005e-11
51,1.3709378019920554e-11
52,1.2135625855216136e-11
53,1.0665437362087637e-11
54,9.235212944358571e-12
55,8.281334989618489e-12
56,7.07778298511905e-12
57,6.270158051167738e-12
58,5.474441355308684e-12
59,4.892688434065132e-12
60,4.4418793002190636e-12
61,3.71000318046248e-12
62,3.425427679946943e-12
63,3.129726743224999e-12
64,2.630301544364604e-12
65,2.229206730223653e-12
66,2.0699812256020957e-12
67,1.833629668745622e-12
68,1.6668940965504316e-12
69,1.3490486798231238e-12
70,1.335362912450645e-12
71,1.2477789260547768e-12
72,8.678460883744862e-13
73,9.382954286825309e-13
74,7.568350466549713e-13
75,6.551004946776123e-13
76,5.131279995999627e-13
77,4.85168757505827e-13
78,5.928590236800756e-13
79,4.136502210867854e-13
80,3.773043292033424e-13
81,2.1532705554141564e-13
82,2.96232201466673e-13
83,3.4478094700481143e-13
84,1.3401159052326086e-13
85,1.7755444973349618e-13
86,5.505834753279526e-14
87,3.261676518364877e-13
88,1.3569280595031452e-13
89,1.720837511775163e-13
90,1.3833975433165283e-13
91,1.4960116905237042e-13
92,1.1383961036066797e-13
93,1.0326244524078904e-13
94,2.2830334252826565e-13
95,-5.0324069659042774e-14
96,1.7146169477038835e-13
97,-2.7429604035777506e-13
98,6.528482998121077e-14
99,8.040917297409372e-14
100,8.552519837895673e-11
101,7.488355258694375e-11
102,6.526259875467047e-11
103,5.773113218431578e-11
104,5.1623624086676195e-11
105,4.6170124758116235e-11
106,4.1845586621091595e-11
107,3.8118457345733677e-11
108,3.47632523622398e-11
109,3.1954024149814694e-11
110,2.9503587017761104e-11
111,2.720256324756646e-11
112,2.5217222740402193e-11
113,2.35231967704297e-11
114,2.182359229647011e-11
115,2.0502213799546326e-11
116,1.908150131043507e-11
117,1.789536815980437e-11
118,1.6653622997050015e-11
119,1.5823274192940808e-11
120,1.4801885506177714e-11
121,1.4086563068047173e-11
122,1.3090397537048567e-11
123,1.2349661689961724e-11
124,1.1554660714992222e-11
125,1.0866293176358338e-11
126,1.0391155740157556e-11
127,1.0059221667542737e-11
128,9.176288701683882e-12
129,8.800896758835806e-12
130,8.478007868857645e-12
131,7.862673294341536e-12
132,7.538754856282001e-12
133,7.308299503161679e-12
134,6.842763063665441e-12
135,6.443650595132976e-12
136,6.025411714279479e-12
137,5.883770217225751e-12
138,5.634784352730231e-12
139,5.175084331519937e-12
140,5.1138106916592996e-12
141,4.734788217400817e-12
142,4.5154349378811375e-12
143,4.173327882580005e-12
144,4.177777548826388e-12
145,3.886052496141394e-12
146,3.711754364154283e-12
147,3.5240606172590186e-12
148,3.4478838931587877e-12
149,3.2940573730014596e-12
150,3.0691669100489202e-12
151,3.0604694499148096e-12
152,2.8854322499710837e-12
153,2.8577835624812156e-12
154,2.3647409375228626e-12
155,2.3982815499472307e-12
156,2.2167559939593173e-12
157,2.2123916739988035e-12
158,2.0049276818609396e-12
159,2.047947418970641e-12
160,2.0102946041339823e-12
161,1.9283849341927893e-12
162,1.5367332169950718e-12
163,1.6454289988285307e-12
164,1.5462831824575185e-12
165,1.539541297807971e-12
166,1.5814116551803026e-12
167,1.4395620930529694e-12
168,1.3801314934974447e-12
169,1.3782557379222729e-12
170,1.2508368709932742e-12
171,1.1783581907416344e-12
172,1.0829710131501488e-12
173,1.0779426403717617e-12
174,1.0600292151764707e-12
175,1.1178782967632787e-12
176,8.108477716216869e-13
177,9.22880726066894e-13
178,6.390302908347225e-13
179,6.72409972359861e-13
180,6.497058761938449e-13
181,5.849374667095155e-13
182,7.874934414438357e-13
183,6.670716384431712e-13
184,5.709957698949273e-13
185,6.289519271267352e-13
186,5.61303875111716e-13
187,-5.6863072474013137e-11
188,-5.767245242896416e-11
189,-5.599890544181946e-11
190,-5.4268591827694245e-11
191,-5.229851082518247e-11
192,-5.0231203359181604e-11
193,-4.8309617826257095e-11
194,-4.628566594667527e-11
195,-4.41972970346356e-11
196,-4.214705838644169e-11
197,-3.984975689681348e-11
198,-3.772409637618464e-11
199,-3.5771569926163104e-11
200,-3.349809192615009e-11
201,-3.148353918451006e-11
202,-2.9412612076931746e-11
203,-2.733707465305794e-11
204,-2.5158979484683403e-11
205,-2.3367513850558538e-11
206,-2.161792856166933e-11
207,-1.973609594427844e-11
208,-1.8127511679626094e-11
209,-1.6520103001403916e-11
210,-1.517937577915308e-11
211,-1.3791657989076115e-11
212,-1.2450030172057352e-11
213,-1.1183652482442475e-11
214,-1.0323365337871129e-11
215,-9.249463908783872e-12
216,-8.556642618549486e-12
217,-7.62161378243525e-12
218,-6.870286691098139e-12
219,-6.121575125708538e-12
220,-5.3967228779008486e-12
221,-5.056438337970284e-12
222,-4.369234104805904e-12
223,-3.904840425629504e-12
224,-3.5900504669682563e-12
225,-3.256606325579684e-12
226,-2.9020756544087196e-12
227,-2.4351659861892484e-12
228,-2.160007036156232e-12
229,-2.135728484477843e-12
230,-1.6925253943004493e-12
231,-1.7831623391594002e-12
232,-1.4539019984311248e-12
233,-1.1657442506274774e-12
234,-1.1741698472254506e-12
235,-9.572556496529816e-13
236,-8.93321799391978e-13
237,-1.0132783316781168e-12
238,-8.126154997319978e-13
239,-4.904545348441559e-13
240,-7.135423299344888e-13
241,-4.558437430469954e-13
242,-4.5373578183892567e-13
243,-3.9788187208857424e-13
244,-3.464612153919907e-13
245,-3.7708723019827966e-13
246,-4.176393495941241e-13
247,-8.646044169538976e-14
248,-4.157942393533093e-13
249,-3.0318009033698633e-13
250,-1.5267243116294013e-13
251,-4.354853302501981e-14
252,-2.9708696716466813e-14
253,5.503936558233451e-14
254,-4.9515619126653436e-14
255,-9.114353990924426e-14
256,-2.695502015116316e-13
257,6.797757084329815e-14
258,-1.8945643195989478e-13
259,6.324818805011986e-14
260,-1.7574438857777595e-13
261,1.354816183890035e-13
262,-1.0217570020298238e-14
263,-5.710289610060867e-14
264,-2.7556224950719537e-14
265,-1.0783941720443218e-13
266,-1.0757279511304118e-13
267,1.6337427357982513e-13
268,-1.0984751644072637e-14
269,-5.878053836321619e-14
270,-8.909096871337247e-14
271,6.877210993876554e-14
272,-2.4810236134523675e-13
273,-7.117076398449653e-14
