,y_obs
0,-1.483836002214758e-11
1,-1.3544298638224387e-11
2,-1.2075353442211749e-11
3,-1.0809410832930435e-11
4,-9.604269862537567e-12
5,-8.594362445762333e-12
6,-7.407923977980779e-12
7,-6.739679780601488e-12
8,-5.862664462590855e-12
9,-5.014321250730207e-12
10,-4.402487752629744e-12
11,-3.906511403744222e-12
12,-3.3993985144950657e-12
13,-3.1460386562801764e-12
14,-2.729617100227665e-12
15,-2.4963155298583777e-12
16,-2.059441757829923e-12
17,-1.7368136714029815e-12
18,-1.6282906361629995e-12
19,-1.385667574604351e-12
20,-1.2967815124319015e-12
21,-1.1570128116595558e-12
22,-9.544000943273954e-13
23,-8.937676203146664e-13
24,-6.601738987532209e-13
25,-7.244113411142244e-13
26,-5.582253359427422e-13
27,-4.695891049311775e-13
28,-3.882801598034274e-13
29,-3.018048888340496e-13
30,-5.427976403855627e-13
31,-2.6999997067693187e-13
32,-2.2832671748105357e-13
33,-2.42589715249695e-13
34,-3.207379190347384e-13
35,-8.88509489952702e-14
36,-2.844915382554097e-13
37,1.5737857421646085e-11
38,1.3638244771631362e-11
39,1.1958413480105781e-11
40,1.061782177171348e-11
41,9.207559881076885e-12
42,8.16258156154927e-12
43,7.409721323768347e-12
44,6.491226101587548e-12
45,5.696649503599308e-12
46,4.866802667713884e-12
47,4.197132220323754e-12
48,3.858794759810691e-12
49,3.344619159788167e-12
50,3.111711736551725e-12
51,2.7478624806539445e-12
52,2.2347568824169665e-12
53,1.8360456697509525e-12
54,1.8277977244419248e-12
55,1.566608661273483e-12
56,1.5064000436396638e-12
57,1.44499052901919e-12
58,1.0789384752183759e-12
59,1.005947980062481e-12
60,9.515220206300316e-13
61,8.331096040453693e-13
62,6.81351379885964e-13
63,5.700086706776827e-13
64,6.533367059531766e-13
65,3.5469000116134156e-13
66,4.616145166300981e-13
67,4.1045165022354114e-13
68,4.552821619514984e-13
69,4.307625549944986e-13
70,1.372802343549583e-13
71,-5.5141089767138054e-14
72,1.7621142942649888e-13
73,2.7363247792278204e-13
74,8.560101236748806e-11
75,7.478953033467995e-11
76,6.530668329201504e-11
77,5.75455513232374e-11
78,5.134179713445659e-11
79,4.61512434862759e-11
80,4.1675657843803736e-11
81,3.812307422706169e-11
82,3.480950232776715e-11
83,3.196271808555336e-11
84,2.93939199033724e-11
85,2.7174510392705512e-11
86,2.5326275896618602e-11
87,2.335229760838747e-11
88,2.199391077104559e-11
89,2.0157565884171112e-11
90,1.903836919475864e-11
91,1.789301538305102e-11
92,1.6866295410327207e-11
93,1.5506459986842938e-11
94,1.4594627670495056e-11
95,1.3932242577882138e-11
96,1.2983331982583175e-11
97,1.2235031166621749e-11
98,1.1771705080246911e-11
99,1.0869737447206337e-11
100,1.0385710321499618e-11
101,9.964270752734052e-12
102,9.334815423372387e-12
103,8.7654251681513e-12
104,8.211144889469248e-12
105,7.848914085954931e-12
106,7.593673090157125e-12
107,7.0495580433721654e-12
108,6.844845951548069e-12
109,6.557866241575058e-12
110,6.217854710782506e-12
111,5.917567732165755e-12
112,5.545062340300556e-12
113,5.240305796997112e-12
114,4.868293337160138e-12
115,4.82659975056683e-12
116,4.681313160034086e-12
117,4.517306852788784e-12
118,4.346346138675479e-12
119,3.796263197832179e-12
120,3.7924544086985576e-12
121,3.4497048184381972e-12
122,3.5250973874499734e-12
123,3.052418791516116e-12
124,3.137706074804432e-12
125,2.940890676136356e-12
126,2.944598901631014e-12
127,2.813832589864025e-12
128,2.669103868228228e-12
129,2.449729251936227e-12
130,2.1951211028555857e-12
131,2.1668809163743317e-12
132,2.015027379686219e-12
133,1.9322947761718326e-12
134,1.7792786057387556e-12
135,1.7481491142799615e-12
136,-5.708049728990773e-11
137,-5.7472443323342877e-11
138,-5.594827975821496e-11
139,-5.412481554562201e-11
140,-5.216389379777695e-11
141,-5.009017018199398e-11
142,-4.8354338761271175e-11
143,-4.622951620904216e-11
144,-4.418309814394995e-11
145,-4.201107809076888e-11
146,-3.98567927794017e-11
147,-3.7709737685272565e-11
148,-3.5323568856409924e-11
149,-3.344935835352715e-11
150,-3.1338170820202474e-11
151,-2.9334337673687446e-11
152,-2.7364268138935703e-11
153,-2.5253641015877556e-11
154,-2.3396027392370505e-11
155,-2.142850759390653e-11
156,-1.983959642269372e-11
157,-1.7988593381243938e-11
158,-1.649263319727553e-11
159,-1.5098077317360556e-11
160,-1.3847917619819387e-11
161,-1.2343723691179357e-11
162,-1.1343530172852406e-11
163,-1.0233404654185211e-11
164,-9.160150439292281e-12
165,-8.282867475092684e-12
166,-7.45058218312856e-12
167,-6.805912876550519e-12
168,-6.038664682090527e-12
169,-5.477325726788322e-12
170,-4.927606182619504e-12
171,-4.396133621788115e-12
172,-3.909797433711385e-12
173,-3.6114755687629287e-12
174,-3.144579012369622e-12
175,-2.7060099849162392e-12
176,-2.2930167690465154e-12
177,-2.2800603685746017e-12
178,-1.9389123944016513e-12
179,-1.5814295430890847e-12
180,-1.7308953903569687e-12
181,-1.344192642480701e-12
182,-1.0546205551400867e-12
183,-1.00156286251278e-12
184,-1.062369994432028e-12
185,-9.841251881348323e-13
186,-6.110187591404169e-13
187,-5.856224944738791e-13
188,-7.065283792693833e-13
189,-5.600113729795029e-13
190,-6.576141171188019e-13
191,-4.4297260621710995e-13
192,-4.0759218731986045e-13
193,-4.1030964059575357e-13
194,-4.039901790509206e-13
195,-1.8000310591720967e-13
196,-1.5225501280492687e-13
197,-1.4159818600784174e-13
