,y_obs
0,-1.6032373718204935e-11
1,-1.4221703650262974e-11
2,-1.2761381297180706e-11
3,-1.1204517478935748e-11
4,-9.938925700569865e-12
5,-8.585114358975658e-12
6,-7.58784889309547e-12
7,-6.65922338671641e-12
8,-5.960690652998614e-12
9,-4.879441548554686e-12
10,-4.500869969145461e-12
11,-3.861022012265958e-12
12,-3.374966346196913e-12
13,-2.93136894745287e-12
14,-2.6464005065616066e-12
15,-2.2027589777463576e-12
16,-2.0287444475049363e-12
17,-1.4963944403752002e-12
18,-1.4833967504903683e-12
19,-1.3328277309178623e-12
20,-9.787534649470707e-13
21,-1.1768244959376328e-12
22,-9.899647636436718e-13
23,-7.651524832944619e-13
24,-6.261869380011659e-13
25,-5.715108661565453e-13
26,-6.549517237053019e-13
27,-4.683512890123426e-13
28,-2.835895115554238e-13
29,-2.9591831245092023e-13
30,-4.953202158639651e-14
31,-2.3722943759004204e-13
32,-8.36584003577535e-14
33,-4.795135634024888e-14
34,-3.4011443242903134e-13
35,-1.6545825336057697e-13
36,-7.160003746218706e-14
37,-1.2155583472169095e-13
38,-2.2327789860662181e-13
39,-1.752678438047498e-13
40,2.5690585285113104e-14
41,-1.2404884996396933e-13
42,1.301041031978879e-13
43,-6.686083330757497e-14
44,1.2382443286030472e-13
45,1.7417283124799404e-14
46,-2.0103364369857842e-13
47,-3.515774347907024e-14
48,-2.2455952857295573e-14
49,-3.8204186821464944e-14
50,-1.2021363271728128e-13
51,-1.8571747212603288e-14
52,-1.1744949128674156e-13
53,-8.970464911548665e-14
54,-5.748310214066578e-14
55,4.608737433765517e-14
56,-1.581271719279709e-13
57,-5.874424705090127e-14
58,-9.321389181155902e-14
59,7.294593064035946e-14
60,-2.1581812707052623e-13
61,9.045710423131437e-14
62,5.70078932998565e-14
63,-4.945148162459483e-14
64,4.1233748833744054e-14
65,-3.1639352227014814e-14
66,-2.6013446853912366e-14
67,2.1687555077594547e-14
68,-1.7127305565333685e-13
69,-7.133085293839509e-14
70,-6.094173668802505e-14
71,5.0835804847686196e-15
72,6.786228824729895e-14
73,-2.86017436253733e-13
74,2.093817549764842e-14
75,-1.1941139544944948e-13
76,-8.216580776905293e-15
77,1.7628622859357635e-14
78,4.521679162143158e-14
79,-1.0596221850128476e-13
80,2.1416725290877892e-13
81,1.1812239021932127e-13
82,-1.1379759633391753e-13
83,6.814924607183474e-14
84,6.1629546418962375e-15
85,-1.754391759129313e-13
86,3.8382438717825375e-14
87,-8.611408014215067e-14
88,-5.415208282912474e-14
89,2.1778097311543595e-13
90,5.5499928997594413e-14
91,2.489938000781828e-13
92,4.542522155754921e-14
93,2.1246173081342915e-14
94,-5.40578523005678e-15
95,1.0230506572697932e-15
96,-1.368774651297477e-14
97,6.454723131825345e-14
98,3.728284172619621e-14
99,-3.6225086651972474e-14
100,5.028539809474182e-14
101,-8.986022673487367e-14
102,1.6359446507405454e-13
103,1.0193186681042429e-13
104,1.435166812384654e-13
105,3.354113994321235e-14
106,-1.0170627121475141e-14
107,-5.780960165516135e-14
108,-7.64616782752228e-15
109,1.1679486473285058e-13
110,-6.711399480902557e-14
111,-1.4252390009609907e-13
112,2.444199552254043e-13
113,8.967792815832042e-14
114,-2.2685572183076372e-14
115,-2.6686432346393127e-14
116,-1.0913764182230523e-13
117,2.0494949379974815e-14
118,-6.644142161368919e-14
119,-1.3177578499039012e-13
120,-1.2401097821481468e-13
121,-1.2158718649975019e-14
122,5.421615681152449e-14
123,-4.222897457415633e-14
124,4.655622410924655e-14
125,1.6724426677584447e-11
126,1.4703823037604734e-11
127,1.2565423640873487e-11
128,1.1004154256309318e-11
129,9.618792722463002e-12
130,8.452444363389375e-12
131,7.146870605896713e-12
132,6.1811648458211016e-12
133,5.384131055185659e-12
134,4.856666225936117e-12
135,4.409213022985706e-12
136,3.8342684183222564e-12
137,3.479802948142426e-12
138,3.077032298997549e-12
139,2.5217120969257826e-12
140,2.23894277648894e-12
141,1.9412030119813165e-12
142,1.6725442138457112e-12
143,1.3370022188603566e-12
144,1.271989025119521e-12
145,1.0713086709928007e-12
146,9.661503271363192e-13
147,9.063060988763403e-13
148,7.293016263440726e-13
149,8.698604286685856e-13
150,7.164653102788886e-13
151,6.152919720624266e-13
152,5.869080793178633e-13
153,3.917870642006277e-13
154,3.8399375886435265e-13
155,4.98288841794371e-13
156,3.183220663469486e-13
157,3.200815990759729e-13
158,2.3864587647275236e-13
159,2.1954319052108626e-13
160,1.6795040230959387e-13
161,1.9586397377159144e-13
162,2.685402734079899e-13
163,1.785464299282142e-13
164,-7.091436655999378e-16
165,1.471183573459565e-13
166,4.950033925400845e-15
167,4.8083685488458944e-14
168,1.2428041012568442e-13
169,8.469617285111806e-15
170,1.508147679826765e-13
171,1.3665550828395244e-13
172,9.188573762434061e-14
173,-3.4196024157145944e-14
174,3.5067096361643647e-14
175,4.454212784352922e-14
176,-7.583888868162478e-14
177,4.0425131368583214e-14
178,-6.93511119496832e-14
179,9.881821417735225e-14
180,8.683141392407178e-14
181,4.468102537636538e-14
182,9.448828460134154e-14
183,-4.3271047603696996e-14
184,7.638042965270983e-14
185,-1.0903957879667178e-13
186,1.6429882957242866e-14
