,y_obs
0,-1.4878645960650403e-11
1,-1.3615201124892919e-11
2,-1.207800548711325e-11
3,-1.0766917645150886e-11
4,-9.509689913815994e-12
5,-8.424715719735077e-12
6,-7.499989419976263e-12
7,-6.584745582505772e-12
8,-5.921555181898146e-12
9,-5.354479844907028e-12
10,-4.480585875021636e-12
11,-4.023660654554826e-12
12,-3.566203349864438e-12
13,-2.863704833717777e-12
14,-2.7616104944328114e-12
15,-2.356168922510117e-12
16,-2.184013970935712e-12
17,-1.943102844703441e-12
18,-1.4797005997664711e-12
19,-1.3064830045188843e-12
20,-1.1553477371403695e-12
21,-1.1939489036940916e-12
22,-1.0774245113357031e-12
23,-7.125267732102241e-13
24,-6.529548944039222e-13
25,-6.787251277246175e-13
26,-3.8140377471072077e-13
27,-4.2511447193930325e-13
28,-4.658983157659221e-13
29,-3.656319171249815e-13
30,-3.481535124050265e-13
31,-4.1754363515930307e-13
32,-1.0702697309046377e-13
33,-2.366750433244606e-13
34,-1.0786358001932383e-13
35,-1.2704783696138563e-13
36,-3.778693145609936e-13
37,1.564612448246331e-11
38,1.3788576216951405e-11
39,1.1960379878314639e-11
40,1.0523969781712128e-11
41,9.338934854479245e-12
42,8.011426579155775e-12
43,7.189836109292574e-12
44,6.268797884296724e-12
45,5.640518738362081e-12
46,5.105240877744972e-12
47,4.4472695506268894e-12
48,4.015461341243426e-12
49,3.5116546020812887e-12
50,3.0494734280244925e-12
51,2.6109037974676426e-12
52,2.491949503674294e-12
53,2.167639865817517e-12
54,1.8265623564855524e-12
55,1.6931487843947283e-12
56,1.4878883887833349e-12
57,1.373570270470804e-12
58,1.2324342795513281e-12
59,1.038102437687384e-12
60,9.426027883050354e-13
61,8.053666827108053e-13
62,7.198738312897485e-13
63,6.217186375003071e-13
64,1.840421010313689e-13
65,4.930387392543664e-13
66,3.577316551641832e-13
67,3.163737828988562e-13
68,2.8595028248518267e-13
69,3.6343466867442765e-13
70,3.4051136679423515e-13
71,1.9023661416563622e-13
72,3.845212337418038e-13
73,-1.0852233385932507e-13
74,8.553838717300834e-11
75,7.500057495955018e-11
76,6.556622796919982e-11
77,5.751744881398784e-11
78,5.12322929749818e-11
79,4.640608925704268e-11
80,4.2074788564392054e-11
81,3.814193757420696e-11
82,3.481459623297516e-11
83,3.176528881853431e-11
84,2.9169324205492426e-11
85,2.7223849055466253e-11
86,2.5230547660951113e-11
87,2.3705536042850537e-11
88,2.194878436673809e-11
89,2.0330287573430465e-11
90,1.9110911970793748e-11
91,1.778445711745227e-11
92,1.667160582325928e-11
93,1.5617671261365495e-11
94,1.4736178065026425e-11
95,1.3902186159364228e-11
96,1.3293546024598896e-11
97,1.2372407068596741e-11
98,1.1662977179135e-11
99,1.117598798553474e-11
100,1.036750428237834e-11
101,1.0046297082633416e-11
102,9.362432125946441e-12
103,8.770056384323327e-12
104,8.257018639332999e-12
105,8.058922164240327e-12
106,7.733529178690615e-12
107,7.309043775209031e-12
108,6.930609956082285e-12
109,6.355963221236982e-12
110,6.106028389755082e-12
111,5.983268490401643e-12
112,5.397981905534942e-12
113,5.349599577695049e-12
114,5.1026867133668724e-12
115,4.749975578111181e-12
116,4.51319343583808e-12
117,4.436609440469365e-12
118,4.050553657643797e-12
119,3.94700594569534e-12
120,3.792318673100634e-12
121,3.5023624659153018e-12
122,3.3310437607445326e-12
123,3.144836014042445e-12
124,3.34818333535393e-12
125,3.038962354517148e-12
126,2.8692805689566213e-12
127,2.8393231976130168e-12
128,2.45915515958632e-12
129,2.4269167847518763e-12
130,2.2259121408123306e-12
131,2.1680358585824716e-12
132,2.3467742507358213e-12
133,1.9556251210897955e-12
134,1.8411215402393865e-12
135,1.8645804762953664e-12
136,-5.677049788069769e-11
137,-5.764902618549016e-11
138,-5.607437638713163e-11
139,-5.3850597378173356e-11
140,-5.228165594686446e-11
141,-5.0271062669100514e-11
142,-4.822185150952696e-11
143,-4.6307012347107694e-11
144,-4.4088788276482875e-11
145,-4.200791908649659e-11
146,-3.998898826766444e-11
147,-3.783292995637012e-11
148,-3.576973389091754e-11
149,-3.326149206572873e-11
150,-3.1125337294522035e-11
151,-2.9177541805238644e-11
152,-2.7178243866721598e-11
153,-2.5311435289536656e-11
154,-2.3523648886984235e-11
155,-2.1499351341492278e-11
156,-1.9780688629475908e-11
157,-1.81134101435045e-11
158,-1.666693785870323e-11
159,-1.5221622974914976e-11
160,-1.3935126684521012e-11
161,-1.2530619494791176e-11
162,-1.1387688673422654e-11
163,-1.0292760839629551e-11
164,-9.41254162850333e-12
165,-8.342978483601295e-12
166,-7.555974289887234e-12
167,-6.873604365964212e-12
168,-6.0143094995253665e-12
169,-5.663600461540654e-12
170,-4.932286855514158e-12
171,-4.460048011119114e-12
172,-3.980829906860371e-12
173,-3.676475566294113e-12
174,-3.177859123178009e-12
175,-2.8584746400058272e-12
176,-2.545962659167119e-12
177,-2.354107706637794e-12
178,-2.035685454185912e-12
179,-1.7138263585471273e-12
180,-1.5706569572100194e-12
181,-1.3830398363153314e-12
182,-1.3449107024671809e-12
183,-1.0477966603822291e-12
184,-1.0127948274560668e-12
185,-1.0867069197403593e-12
186,-7.186912609894119e-13
187,-8.143288739330437e-13
188,-6.89809689513746e-13
189,-7.563872704945706e-13
190,-5.574781566344121e-13
191,-2.83936813251469e-13
192,-3.564456782174966e-13
193,-3.0081987321319885e-13
194,-9.946589632724885e-15
195,-2.1420214507412773e-13
196,-1.965772813945613e-13
197,-1.446198066629057e-13
