,y_obs
0,-1.602562099824744e-11
1,-1.4502304465458494e-11
2,-1.2543959288444128e-11
3,-1.1201630060323472e-11
4,-9.890228724414504e-12
5,-8.5278804522797e-12
6,-7.466058876062904e-12
7,-6.67484812834648e-12
8,-5.779993318766144e-12
9,-5.2758657396538985e-12
10,-4.2957771375504124e-12
11,-3.74914057981076e-12
12,-3.2602722740377825e-12
13,-3.126659092051992e-12
14,-2.581162140101744e-12
15,-2.218501878099474e-12
16,-1.891038550738009e-12
17,-1.65219312707009e-12
18,-1.3306426297723826e-12
19,-1.4272206006414755e-12
20,-1.1270828862553736e-12
21,-1.0281412612827547e-12
22,-8.176304224791244e-13
23,-6.723367514085847e-13
24,-5.007995985041631e-13
25,-5.968354488529781e-13
26,-4.1043003649180786e-13
27,-5.971414677517567e-13
28,-3.7936545080425197e-13
29,-2.0788433337315536e-13
30,-3.1245849960592635e-13
31,-2.032138664830492e-13
32,-1.0114471805421002e-13
33,-7.432833655259461e-14
34,-6.912300147719213e-14
35,-1.4729232971753263e-13
36,-1.0490936746940801e-13
37,-1.3426366061235286e-13
38,-4.435877078490381e-15
39,1.620944931773377e-13
40,-5.926058345778715e-14
41,-1.1475860150554016e-13
42,-4.689007315919744e-14
43,-2.5135280331831206e-13
44,-1.3340195882543773e-14
45,-1.2283022868626913e-13
46,-4.24434504029012e-14
47,-2.317255101304326e-14
48,5.3835396823827685e-14
49,2.658056393619205e-15
50,6.77144413900495e-14
51,-1.5881936739962357e-13
52,-1.525676283105955e-13
53,-2.083887018346177e-14
54,-6.416109662013043e-14
55,-2.2574441188710038e-14
56,2.8354373081040033e-14
57,-9.67408353997231e-15
58,5.1254387125504875e-14
59,1.499444312463573e-13
60,-1.0143865617755565e-13
61,-1.0522661136976556e-14
62,1.6730741611196356e-11
63,1.4481021274051917e-11
64,1.2676360532391042e-11
65,1.0686076123456962e-11
66,9.717155900359623e-12
67,8.184753116736628e-12
68,7.2711945091759735e-12
69,6.412271641240721e-12
70,5.474977205752349e-12
71,4.914085618403912e-12
72,4.340820065014545e-12
73,3.801344596862034e-12
74,3.2006736072508326e-12
75,3.0952181308781207e-12
76,2.567725765625023e-12
77,2.1239659660040207e-12
78,2.0335483440563537e-12
79,1.7383560449905666e-12
80,1.5740139624840446e-12
81,9.887757786278218e-13
82,1.317095478683608e-12
83,1.0593565921182296e-12
84,9.365584046093558e-13
85,7.679531160455683e-13
86,7.915870916609109e-13
87,7.286946189609366e-13
88,5.82722504995603e-13
89,6.291345850144789e-13
90,4.400218326242386e-13
91,3.4100830240998315e-13
92,2.332414187292535e-13
93,2.378991425841751e-13
94,3.4306773510963415e-13
95,2.2238028935612955e-13
96,1.6891706690802834e-13
97,2.32243016283286e-13
98,5.137453869984226e-14
99,8.843520177662392e-14
100,1.522918729853828e-13
101,1.653139040640628e-13
102,1.462275285638956e-13
103,1.1310795925263219e-13
104,1.2304739758753653e-13
105,2.0218886158659532e-13
106,-2.00294488447101e-14
107,4.414591034180394e-15
108,1.6762818733427552e-13
109,-8.823689422365921e-14
110,1.2272637578150852e-13
111,-1.4003047635278026e-13
112,-1.767862898176785e-14
113,9.908109564715216e-14
114,9.209805529732697e-16
115,5.971353978321031e-16
116,8.466130326510867e-14
117,-1.6720809362373385e-13
118,1.763330999214715e-14
119,5.088574558328794e-14
120,-1.4785770269009246e-14
121,-5.2891867291278844e-14
122,-6.045800696804598e-14
123,5.053324009503022e-14
124,9.226024263162656e-11
125,7.99431394196475e-11
126,6.918582915799696e-11
127,6.074875407157267e-11
128,5.3995139186126934e-11
129,4.832710464946089e-11
130,4.351796380386174e-11
131,3.944327762986473e-11
132,3.5999884075628254e-11
133,3.304692865639864e-11
134,3.022986100974742e-11
135,2.7685561068875048e-11
136,2.5447536319844024e-11
137,2.394403729485891e-11
138,2.1861619447969128e-11
139,2.0604087544977125e-11
140,1.915338691683918e-11
141,1.7751381140874832e-11
142,1.668506494895549e-11
143,1.54537457412734e-11
144,1.4667376319611593e-11
145,1.3586108210567236e-11
146,1.2867379530579792e-11
147,1.2117471624466668e-11
148,1.1285508729670344e-11
149,1.0864547758815209e-11
150,1.0054862997864516e-11
151,9.505024029361314e-12
152,8.837284400301916e-12
153,8.374205933138207e-12
154,8.04378979712104e-12
155,7.386050993374117e-12
156,6.840748974180368e-12
157,6.6322890038503654e-12
158,6.2130131425861036e-12
159,5.993793209963099e-12
160,5.692611371862666e-12
161,5.262711827980964e-12
162,5.0209909148744475e-12
163,4.69373627401885e-12
164,4.447245287378382e-12
165,4.31810089619166e-12
166,4.1341509832654874e-12
167,3.878302428228789e-12
168,3.755095332495278e-12
169,3.569918537886503e-12
170,3.285499348356581e-12
171,3.069084873916358e-12
172,2.870871571914864e-12
173,2.6899338722335468e-12
174,2.685052139157502e-12
175,2.5136440321664607e-12
176,2.620356387853854e-12
177,2.2990114258578723e-12
178,2.0310166728943638e-12
179,2.2054312202452856e-12
180,1.7452114803645299e-12
181,1.7274745565015305e-12
182,1.805826157855921e-12
183,1.68004882236422e-12
184,1.7253033495528772e-12
185,1.3739599877434677e-12
186,-6.367510113421577e-11
187,-6.416508408291509e-11
188,-6.188224182500309e-11
189,-5.962190019718454e-11
190,-5.7022973732444125e-11
191,-5.459932652609033e-11
192,-5.212315260965792e-11
193,-4.945193114016308e-11
194,-4.6602176605994664e-11
195,-4.408582468480102e-11
196,-4.138377286201129e-11
197,-3.861701709487871e-11
198,-3.6044547838730335e-11
199,-3.359880710972519e-11
200,-3.100900436411931e-11
201,-2.8606900527522538e-11
202,-2.6192410083733714e-11
203,-2.4036428317021543e-11
204,-2.1761952881655755e-11
205,-1.99592900390773e-11
206,-1.8073139380739702e-11
207,-1.628387505748113e-11
208,-1.4499796810273437e-11
209,-1.3138838012192775e-11
210,-1.1815841489726554e-11
211,-1.068934275636858e-11
212,-9.409130042925838e-12
213,-8.286863691829714e-12
214,-7.433853300129394e-12
215,-6.651280284794396e-12
216,-5.9344599686384255e-12
217,-5.410118696721714e-12
218,-4.701601530609805e-12
219,-4.143139299765225e-12
220,-3.763594621008462e-12
221,-3.1191922713876767e-12
222,-2.8927368558187465e-12
223,-2.5090650449627604e-12
224,-2.276849252922079e-12
225,-2.2426605941229423e-12
226,-1.8383825270840124e-12
227,-1.6003392199171645e-12
228,-1.2943912696313042e-12
229,-1.2188602902618425e-12
230,-1.0871905658740952e-12
231,-9.419242606292815e-13
232,-8.735941946812907e-13
233,-8.315253670862744e-13
234,-7.937836793150184e-13
235,-5.658879394632018e-13
236,-4.634902015613736e-13
237,-1.8412715311906167e-13
238,-3.6661873114599843e-13
239,-2.920396176625019e-13
240,-3.4437399301061873e-13
241,-2.2957791514436366e-13
242,-1.604996479300394e-13
243,-3.229922498397163e-13
244,-3.314541065999138e-13
245,-5.427459386801776e-14
246,-3.153983992185184e-14
247,-9.300172887755618e-14
248,3.820230772656036e-11
249,3.665395847441147e-11
250,3.2189065368786835e-11
251,2.7962319210644565e-11
252,2.4723647537692793e-11
253,2.208571361844517e-11
254,1.967049210001543e-11
255,1.7458749087538135e-11
256,1.5682081678387054e-11
257,1.4224169244221523e-11
258,1.2709688181701408e-11
259,1.1433429860947329e-11
260,1.0556681475457607e-11
261,9.435748217078573e-12
262,8.563608274324995e-12
263,7.827166123497768e-12
264,7.059364052063938e-12
265,6.4972713622700816e-12
266,5.8491090040811045e-12
267,5.48140082470529e-12
268,4.772614517317866e-12
269,4.433699986650868e-12
270,4.010899545655504e-12
271,3.5916709070862054e-12
272,3.307491943112769e-12
273,2.978240851604912e-12
