,y_obs
0,-1.602562099824744e-11
1,-1.4502304465458494e-11
2,-1.2543959288444128e-11
3,-1.1201630060323472e-11
4,-9.890228724414504e-12
5,-8.5278804522797e-12
6,-7.466058876062904e-12
7,-6.67484812834648e-12
8,-5.779993318766144e-12
9,-5.2758657396538985e-12
10,-4.2957771375504124e-12
11,-3.74914057981076e-12
12,-3.2602722740377825e-12
13,-3.126659092051992e-12
14,-2.581162140101744e-12
15,-2.218501878099474e-12
16,-1.891038550738009e-12
17,-1.65219312707009e-12
18,-1.3306426297723826e-12
19,-1.4272206006414755e-12
20,-1.1270828862553736e-12
21,-1.0281412612827547e-12
22,-8.176304224791244e-13
23,-6.723367514085847e-13
24,-5.007995985041631e-13
25,-5.968354488529781e-13
26,-4.1043003649180786e-13
27,-5.971414677517567e-13
28,-3.7936545080425197e-13
29,-2.0788433337315536e-13
30,-3.1245849960592635e-13
31,1.673368849103615e-11
32,1.4606629007651777e-11
33,1.267757428469826e-11
34,1.1012493216006676e-11
35,9.501886380790975e-12
36,8.311487541015726e-12
37,7.2177266899373736e-12
38,6.425967050108624e-12
39,5.792616778474971e-12
40,4.875499603471431e-12
41,4.213752649421832e-12
42,3.75260799374106e-12
43,3.085801278534852e-12
44,2.9192130557751753e-12
45,2.4553138329939637e-12
46,2.225552393602981e-12
47,1.9721793186103628e-12
48,1.8099461745610434e-12
49,1.5491015880758993e-12
50,1.4292283241834346e-12
51,1.0404039094321569e-12
52,9.038962087476919e-13
53,9.100136303212246e-13
54,7.561384402145315e-13
55,7.003882672487314e-13
56,6.656046679898707e-13
57,5.520876175851086e-13
58,5.465097962760977e-13
59,5.866034817859314e-13
60,2.835811271029039e-13
61,3.289919868870339e-13
62,9.246134079455949e-11
63,7.988291848342304e-11
64,6.933714163161006e-11
65,6.053861033748805e-11
66,5.4128789219442936e-11
67,4.8144978553187626e-11
68,4.351519654303912e-11
69,3.9498627029366994e-11
70,3.583972783111593e-11
71,3.290378118335522e-11
72,3.023632055597426e-11
73,2.783411474885495e-11
74,2.5563437452703012e-11
75,2.3951796913190153e-11
76,2.2057850589603257e-11
77,2.036778326356158e-11
78,1.913684131947731e-11
79,1.7793313487948906e-11
80,1.6661247959060418e-11
81,1.518242870237644e-11
82,1.468180563614812e-11
83,1.3653804876050936e-11
84,1.2813741711781471e-11
85,1.1976043248306778e-11
86,1.1374418444112269e-11
87,1.0726462880122194e-11
88,1.0032332290122436e-11
89,9.56456316203946e-12
90,8.892670720615347e-12
91,8.339879046717647e-12
92,7.805225015442144e-12
93,-6.361402058117515e-11
94,-6.402423839294558e-11
95,-6.184898604583253e-11
96,-5.951379732526621e-11
97,-5.699108439666798e-11
98,-5.4646936804054454e-11
99,-5.202702909922404e-11
100,-4.933315254265858e-11
101,-4.665595839334534e-11
102,-4.399231055733829e-11
103,-4.13391296027087e-11
104,-3.865750403301102e-11
105,-3.593703737225925e-11
106,-3.3571763744330716e-11
107,-3.102384999076903e-11
108,-2.84224437832378e-11
109,-2.6336220748892787e-11
110,-2.389173523148613e-11
111,-2.2038787732379168e-11
112,-1.992521766844314e-11
113,-1.7945760265554947e-11
114,-1.6311456148028294e-11
115,-1.470909029416773e-11
116,-1.3149568880068391e-11
117,-1.2048999603212415e-11
118,-1.0629993964808649e-11
119,-9.47404008754265e-12
120,-8.522485412547136e-12
121,-7.641616713087624e-12
122,-6.821109230220582e-12
123,-5.965752668296753e-12
124,3.8120111158369195e-11
125,3.6663821538346715e-11
126,3.1954752862216035e-11
127,2.8103644973795082e-11
128,2.4933766321034994e-11
129,2.214089846718346e-11
130,1.9694071714736268e-11
131,1.7600771176074917e-11
132,1.5847578693865086e-11
133,1.435813056583717e-11
134,1.2824055729828974e-11
135,1.1416070996208598e-11
136,1.0195214843797203e-11
137,9.608227408432533e-12
138,8.35877207397987e-12
139,7.861552422771389e-12
140,7.1092005410472885e-12
141,6.3516362194807315e-12
142,5.88304749172682e-12
143,5.2069982149845946e-12
144,4.9388710367566394e-12
145,4.3424989308098625e-12
146,4.078634557707809e-12
147,3.756112664362875e-12
148,3.3271875952038884e-12
149,3.287083933856353e-12
150,2.8368588044776617e-12
151,2.6268443239985963e-12
152,2.2814313818113605e-12
153,2.124161113575033e-12
154,2.0841265159579683e-12
155,-3.028958557930786e-11
156,-3.381135440151711e-11
157,-3.111817438204112e-11
158,-2.87209446361828e-11
159,-2.6249018316221185e-11
160,-2.399080810991579e-11
161,-2.2000473813273228e-11
162,-1.996514073422392e-11
163,-1.816049108601349e-11
164,-1.642045324807052e-11
165,-1.470847351342536e-11
166,-1.3191235097089918e-11
167,-1.1882049519956773e-11
168,-1.0568660044662754e-11
169,-9.442074400106212e-12
170,-8.529735007983581e-12
171,-7.657269555756943e-12
172,-6.866755973572193e-12
173,-6.1514124986247e-12
174,-5.344806347983481e-12
175,-4.7823905202121975e-12
176,-4.0126351649737295e-12
177,-3.735232764095953e-12
178,-3.4628203009615277e-12
179,-2.800729741108995e-12
180,-2.8208739900432708e-12
181,-2.4415961883016364e-12
182,-2.0048268044886134e-12
183,-1.8069200784720767e-12
184,-1.4693743960169458e-12
185,-1.5560705160257592e-12
