,t,OF,OF_Hb,IF_Hb,S_in,IF_Hb_Sb,H_in,IF_Sb,OF_Sb,IF,OF_Hb_Sb
0,0.0,2.833e-08,2.833e-08,2.833e-08,0.001,2.833e-08,1e-07,2.125e-08,2.125e-08,2.125e-08,2.125e-08
1,0.0010000666711114075,6.2475558859576155e-09,1.4313594938341246e-08,4.3477653065709846e-09,0.0009999746218675657,4.208506196477281e-08,1.1162307046941026e-07,3.4669426151717684e-08,5.4156595752685395e-08,2.125e-08,2.125e-08
2,0.002000133342222815,6.020825561602602e-09,8.728578585541144e-09,4.2363786105714185e-09,0.0009999738326730177,4.196138234282078e-08,1.1253594463924816e-07,3.7560396145981656e-08,5.731243875345678e-08,2.125e-08,2.125e-08
3,0.0030002000133342224,5.8325579428491085e-09,6.747489227029403e-09,4.298633888065917e-09,0.0009999735638923553,4.2817145206835376e-08,1.1194896243806531e-07,3.888784856717291e-08,5.7236325168015766e-08,2.125e-08,2.125e-08
4,0.00400026668444563,5.669345870526446e-09,5.987314995148603e-09,4.374869035338709e-09,0.0009999734426439073,4.3664267916545575e-08,1.1122308817637806e-07,3.989771204688297e-08,5.622649013551753e-08,2.125e-08,2.125e-08
5,0.005000333355557038,5.528784761613909e-09,5.6474093336297415e-09,4.446307997430559e-09,0.0009999733753525673,4.4408606884645754e-08,1.1054604054836781e-07,4.075051644144666e-08,5.5038374581175814e-08,2.125e-08,2.125e-08
6,0.006000400026668445,5.4072322141501664e-09,5.4603293027205545e-09,4.50899069384321e-09,0.0009999733311904786,4.505199279133276e-08,1.099468167303313e-07,4.148505537993603e-08,5.390639961796433e-08,2.125e-08,2.125e-08
7,0.0070004666977798525,5.302315018084216e-09,5.333628431847928e-09,4.563326140116143e-09,0.0009999732997610057,4.560525524543394e-08,1.0942498374945886e-07,4.212114111489627e-08,5.2894334049567545e-08,2.125e-08,2.125e-08
8,0.00800053336889126,5.2117382232185635e-09,5.236225677805093e-09,4.61010395235019e-09,0.0009999732768967936,4.608056904099232e-08,1.0897253416607078e-07,4.2672510398880114e-08,5.200885270670289e-08,2.125e-08,2.125e-08
9,0.009000600040002667,5.133585605704547e-09,5.1562845576779365e-09,4.650332302727342e-09,0.000999973260674108,4.6488687433738014e-08,1.0858063845885544e-07,4.315050069797775e-08,5.124060940212611e-08,2.125e-08,2.125e-08
10,0.010000666711114076,5.066155555210761e-09,5.0880007767597395e-09,4.6848833808064645e-09,0.0009999732498259322,4.683908166890605e-08,1.082410923995491e-07,4.356483593290827e-08,5.057704268536166e-08,2.125e-08,2.125e-08
11,0.011000733382225483,5.007974656594462e-09,5.029269456051323e-09,4.714531676514565e-09,0.0009999732435479933,4.713992865292971e-08,1.0794652335454149e-07,4.392386904127097e-08,5.000442651659312e-08,2.125e-08,2.125e-08
