,y_obs
0,-1.485033003122146e-11
1,-1.3650106438721389e-11
2,-1.1920130067993566e-11
3,-1.0762597545980481e-11
4,-9.59967826372111e-12
5,-8.355701269073629e-12
6,-7.386442933080303e-12
7,-6.667384040291277e-12
8,-5.8276314242838654e-12
9,-5.3632002163620386e-12
10,-4.412832520103773e-12
11,-3.88681202712432e-12
12,-3.410565074165015e-12
13,-3.2840384063021555e-12
14,-2.7412512198796007e-12
15,1.5683000848979372e-11
16,1.3817098081186587e-11
17,1.207237498906738e-11
18,1.0680693171970646e-11
19,9.100427526574587e-12
20,8.11250532720854e-12
21,7.090716590115088e-12
22,6.3241980002973445e-12
23,5.615913689857066e-12
24,5.040857282520184e-12
25,4.290578756070175e-12
26,3.902935218445546e-12
27,3.211975878213767e-12
28,2.9863014059048473e-12
29,2.7674542004184644e-12
30,8.556134174373558e-11
31,7.489218335313325e-11
32,6.54412565042389e-11
33,5.7797375886117244e-11
34,5.1524348273903414e-11
35,4.621852774209643e-11
36,4.184334382894779e-11
37,3.803233815933942e-11
38,3.4890658800333296e-11
39,3.219887701197536e-11
40,2.9459214162085194e-11
41,2.7169600998486658e-11
42,2.5242931524850064e-11
43,2.3247692389148036e-11
44,2.1869923877762657e-11
45,-5.695648009451931e-11
46,-5.7737856414421774e-11
47,-5.5977476220077755e-11
48,-5.4074420636685195e-11
49,-5.223694144822052e-11
50,-5.022455246070049e-11
51,-4.8450229633607594e-11
52,-4.639641635907906e-11
53,-4.417705046981262e-11
54,-4.209978679270813e-11
55,-3.991743715378439e-11
56,-3.771461463521561e-11
57,-3.56014538004548e-11
58,-3.340203708467401e-11
59,-3.11898451855997e-11
