,y_obs
0,-1.485033003122146e-11
1,-1.3650106438721389e-11
2,-1.1920130067993566e-11
3,-1.0762597545980481e-11
4,-9.59967826372111e-12
5,-8.355701269073629e-12
6,-7.386442933080303e-12
7,-6.667384040291277e-12
8,-5.8276314242838654e-12
9,-5.3632002163620386e-12
10,-4.412832520103773e-12
11,-3.88681202712432e-12
12,-3.410565074165015e-12
13,-3.2840384063021555e-12
14,-2.7412512198796007e-12
15,-2.377846192662804e-12
16,-2.046965305902458e-12
17,-1.803021841365853e-12
18,-1.4749526581667932e-12
19,-1.5641299044892787e-12
20,-1.2560967897860407e-12
21,-1.1489543092053452e-12
22,-9.302074399526954e-13
23,-7.767769482277721e-13
24,-5.973049394704466e-13
25,-6.857315571850889e-13
26,-4.920282382242587e-13
27,-6.718772406414049e-13
28,-4.4762105570678535e-13
29,-2.7010478731043455e-13
30,-3.6906093164048784e-13
31,-2.546047659289871e-13
32,-1.4774564308323695e-13
33,-1.1648689016973564e-13
34,-1.072195469223251e-13
35,-1.816976970378493e-13
36,-1.3593349265575206e-13
37,-1.6220763152567217e-13
38,-2.957752698150025e-14
39,1.395054313206976e-13
40,-7.955493887873796e-14
41,-1.329805789997381e-13
42,-6.319996431965871e-14
43,-2.659967357588627e-13
44,-2.6429054640259586e-14
45,-1.3453722319849263e-13
46,-5.293345414750883e-14
47,-3.251856334285369e-14
48,4.5458861062717155e-14
49,-4.792297734365341e-15
50,6.105567735603846e-14
51,-1.647581715277048e-13
52,-1.5786246524374497e-13
53,-2.5576984873573797e-14
54,-6.836114330450368e-14
55,-2.630840199631667e-14
56,2.503211837082423e-14
57,-1.2629599092622035e-14
58,4.862749983804754e-14
59,1.4760981619961472e-13
60,-1.035128253976198e-13
61,-1.2364866680384573e-14
62,2.6130831204317553e-14
63,-2.4934424906206246e-14
64,9.980457384226856e-14
65,-2.43175255896437e-13
66,2.003205004764984e-13
67,-1.1666157574020947e-13
68,1.9088671525386222e-14
69,6.863401847212275e-14
70,-8.01526567631415e-14
71,4.4797199854004043e-14
72,6.918944374456615e-14
73,5.1271147983110873e-14
74,-9.357051445510491e-14
75,1.9995696913235038e-13
76,2.1972019005850122e-14
77,-1.1589988799901789e-13
78,6.26429424703594e-14
79,3.46541275003797e-15
80,4.6013889383905286e-14
81,-3.5672402038676805e-13
82,1.3178459367358596e-13
83,1.4977707100673226e-14
84,1.6203165326060163e-14
85,-4.322822854945582e-14
86,7.654546063885027e-14
87,9.832441477602147e-14
88,2.6936855585131488e-14
89,1.390701200978751e-13
90,7.871697012741099e-15
91,-4.0095080480955875e-14
92,-1.0287149107458142e-13
93,-5.854751200176512e-14
94,8.159300964797242e-14
95,-8.252965381360984e-15
96,-3.4527763898702464e-14
97,5.2783870780293043e-14
98,-1.0693832768102789e-13
99,-5.1222648722637873e-14
100,2.9090371723285866e-14
101,5.662700189171607e-14
102,5.033609536512808e-14
103,2.8509342174372467e-14
104,4.841110564329578e-14
105,1.36332654930021e-13
106,-7.812413040419206e-14
107,-4.681385732908258e-14
108,1.2244655461377438e-13
109,-1.2812074902375133e-13
110,8.753841605225074e-14
111,-1.7107993978500256e-13
112,-4.508409779793853e-14
113,7.490990684106339e-14
114,-2.0398928935450075e-14
115,-1.8222573683064082e-14
116,6.806110378214129e-14
117,-1.8185397634338375e-13
118,4.7033487621450205e-15
119,3.948100577786989e-14
120,-2.4846240598369662e-14
121,-6.17733376009859e-14
122,-6.829072679172301e-14
123,4.362376428744906e-14
124,-1.7030295362040852e-13
125,1.5722160072424892e-11
126,1.3728620339672017e-11
127,1.2013564165672767e-11
128,1.0617987681525583e-11
129,9.322981049268496e-12
130,8.156725559171847e-12
131,7.171436187458427e-12
132,6.386468585986313e-12
133,5.749923245521011e-12
134,4.973005403421541e-12
135,4.241306401350246e-12
136,3.6268532457212967e-12
137,3.5867032776193445e-12
