,y_obs
0,-1.485033003122146e-11
1,-1.3650106438721389e-11
2,-1.1920130067993566e-11
3,-1.0762597545980481e-11
4,-9.59967826372111e-12
5,-8.355701269073629e-12
6,-7.386442933080303e-12
7,-6.667384040291277e-12
8,-5.8276314242838654e-12
9,-5.3632002163620386e-12
10,-4.412832520103773e-12
11,-3.88681202712432e-12
12,-3.410565074165015e-12
13,-3.2840384063021555e-12
14,-2.7412512198796007e-12
15,-2.377846192662804e-12
16,-2.046965305902458e-12
17,-1.803021841365853e-12
18,-1.4749526581667932e-12
19,-1.5641299044892787e-12
20,-1.2560967897860407e-12
21,-1.1489543092053452e-12
22,-9.302074399526954e-13
23,-7.767769482277721e-13
24,-5.973049394704466e-13
25,-6.857315571850889e-13
26,-4.920282382242587e-13
27,-6.718772406414049e-13
28,-4.4762105570678535e-13
29,-2.7010478731043455e-13
30,-3.6906093164048784e-13
31,-2.546047659289871e-13
32,-1.4774564308323695e-13
33,-1.1648689016973564e-13
34,-1.072195469223251e-13
35,-1.816976970378493e-13
36,-1.3593349265575206e-13
37,-1.6220763152567217e-13
38,-2.957752698150025e-14
39,1.395054313206976e-13
40,-7.955493887873796e-14
41,-1.329805789997381e-13
42,-6.319996431965871e-14
43,-2.659967357588627e-13
44,-2.6429054640259586e-14
45,-1.3453722319849263e-13
46,-5.293345414750883e-14
47,-3.251856334285369e-14
48,4.5458861062717155e-14
49,-4.792297734365341e-15
50,6.105567735603846e-14
51,-1.647581715277048e-13
52,-1.5786246524374497e-13
53,-2.5576984873573797e-14
54,-6.836114330450368e-14
55,-2.630840199631667e-14
56,2.503211837082423e-14
57,-1.2629599092622035e-14
58,4.862749983804754e-14
59,1.4760981619961472e-13
60,-1.035128253976198e-13
61,-1.2364866680384573e-14
62,1.5713585898032627e-11
63,1.375570286371898e-11
64,1.2146845868224924e-11
65,1.0308531989376478e-11
66,9.458178443981391e-12
67,8.018506830769181e-12
68,7.177501863206752e-12
69,6.375327925082019e-12
70,5.482026277585072e-12
71,4.955248100818376e-12
72,4.407932107086982e-12
73,3.887730606722688e-12
74,3.3010531695197642e-12
75,3.2053965550005472e-12
76,2.684253535848439e-12
77,2.2435023724552265e-12
78,2.1545029043241256e-12
79,1.8587532613832474e-12
80,1.6920301976385152e-12
81,1.1040621381699186e-12
82,1.4284893678851202e-12
83,1.1662989331507354e-12
84,1.0386399099277985e-12
85,8.650650969254279e-13
86,8.833878123610844e-13
87,8.151617798185862e-13
88,6.639305199987528e-13
89,7.052570404995387e-13
90,5.110960700285187e-13
91,4.0721891023184616e-13
92,2.9476680140315937e-13
93,2.949597617625446e-13
94,3.958867160946793e-13
95,2.7119377465523334e-13
96,2.1394600285371793e-13
97,2.737242698255572e-13
98,8.953158402023447e-14
99,1.234897485554822e-13
100,1.8446417063618436e-13
101,1.9480493905009569e-13
102,1.7322229412964248e-13
103,1.377996269426092e-13
104,1.4561269453164184e-13
105,2.2278359496462763e-13
106,-1.2339660463947942e-15
107,2.157313062238061e-14
108,1.8327129680190175e-13
109,-7.402058362905884e-14
110,1.3565841466131946e-13
111,-1.2827853931250575e-13
112,-7.013564597738647e-15
113,1.0877220898725921e-13
114,9.720601408151648e-15
115,8.568234692468834e-15
116,9.189127251034551e-14
117,-1.606571638313712e-13
118,2.3557959695325697e-14
119,5.6252111613745824e-14
120,-9.928367339115332e-15
121,-4.850388563682547e-14
122,-5.648753656686586e-14
123,5.412254508488354e-14
124,8.543082448914425e-11
125,7.489781064768573e-11
126,6.528856624659208e-11
127,5.7662880431257876e-11
128,5.150738687350281e-11
129,4.629859986695219e-11
130,4.185482813307136e-11
131,3.8079740302829696e-11
132,3.488810405236969e-11
133,3.2149134407188676e-11
134,2.9515557479620845e-11
135,2.7130042708342633e-11
136,2.5030790766969645e-11
137,2.3648214825963594e-11
138,2.1671609770340764e-11
139,2.050669248633239e-11
