,y_obs
0,-1.485033003122146e-11
1,-1.3650106438721389e-11
2,-1.1920130067993566e-11
3,-1.0762597545980481e-11
4,-9.59967826372111e-12
5,-8.355701269073629e-12
6,-7.386442933080303e-12
7,-6.667384040291277e-12
8,-5.8276314242838654e-12
9,-5.3632002163620386e-12
10,-4.412832520103773e-12
11,-3.88681202712432e-12
12,-3.410565074165015e-12
13,-3.2840384063021555e-12
14,-2.7412512198796007e-12
15,-2.377846192662804e-12
16,-2.046965305902458e-12
17,-1.803021841365853e-12
18,-1.4749526581667932e-12
19,-1.5641299044892787e-12
20,-1.2560967897860407e-12
21,-1.1489543092053452e-12
22,-9.302074399526954e-13
23,-7.767769482277721e-13
24,-5.973049394704466e-13
25,-6.857315571850889e-13
26,-4.920282382242587e-13
27,-6.718772406414049e-13
28,-4.4762105570678535e-13
29,-2.7010478731043455e-13
30,-3.6906093164048784e-13
31,1.571653277787242e-11
32,1.388131059731884e-11
33,1.2148059620532142e-11
34,1.0634949081926191e-11
35,9.242908924412744e-12
36,8.145241255048278e-12
37,7.124034043968152e-12
38,6.389023333949922e-12
39,5.799665850307695e-12
40,4.9166620858858945e-12
41,4.280864691494269e-12
42,3.838994003601715e-12
43,3.1861808408037837e-12
44,3.029391479897602e-12
45,2.5718416032173798e-12
46,2.345088800054187e-12
47,2.0931338788781347e-12
48,1.9303433909537246e-12
49,1.6671178232303699e-12
50,1.5445146837255314e-12
51,1.151797798633669e-12
52,1.0108385497801977e-12
53,1.0120951356396673e-12
54,8.532504210943911e-13
55,7.921889879489049e-13
56,7.520718288475202e-13
57,6.332956325882584e-13
58,6.226322517611575e-13
59,6.576777191902115e-13
60,3.497917349247669e-13
61,3.9051736956093975e-13
62,8.563192265207718e-11
63,7.483758971146127e-11
64,6.543987872020517e-11
65,5.745273669717325e-11
66,5.1641036906818815e-11
67,4.611647377067893e-11
68,4.1852060872248743e-11
69,3.813508970233196e-11
70,3.4727947807857366e-11
71,3.200598693414526e-11
72,2.952201702584769e-11
73,2.7278596388322535e-11
74,2.5146691899828633e-11
75,2.3655974444294838e-11
76,2.1867840911974892e-11
77,2.0270388204916845e-11
78,1.912100937121709e-11
79,1.784949528151588e-11
80,1.6779020791021535e-11
81,1.5355364942563495e-11
82,1.490357373126966e-11
83,1.3916424161955695e-11
84,1.311278303447977e-11
85,1.2306524590099001e-11
86,1.1732407990148211e-11
87,1.1107699074706057e-11
88,1.0433457113197536e-11
89,9.982809812325735e-12
90,9.325575092499976e-12
91,8.785238651302272e-12
92,8.259354485066808e-12
93,-5.692523623720142e-11
94,-5.764251753844086e-11
95,-5.598749984439534e-11
96,-5.418443863635047e-11
97,-5.2205639491787725e-11
98,-5.0415552218541644e-11
99,-4.8356836756815845e-11
100,-4.6227098494954664e-11
101,-4.4110305280182376e-11
102,-4.1994603371878325e-11
103,-3.9874445634469263e-11
104,-3.770158785716056e-11
105,-3.546155434668437e-11
106,-3.353672144364281e-11
107,-3.1391212832696004e-11
108,-2.914493645370916e-11
109,-2.7366963072468117e-11
110,-2.518235445179539e-11
111,-2.3541714542003205e-11
112,-2.159473186644773e-11
113,-1.973664701545639e-11
114,-1.818519396887447e-11
115,-1.6628654533360272e-11
116,-1.5083990851835966e-11
117,-1.3971783958213109e-11
118,-1.251875757489978e-11
119,-1.1311304063518166e-11
120,-1.0293994920432636e-11
121,-9.336906410428248e-12
122,-8.43263843304744e-12
123,-7.489195687281647e-12
